"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id","summary.order","summary.total_count","summary.can_comment","parent.created_time","parent.message","paging.cursors.before","paging.cursors.after"
"428807157146626","1205","None","0","428807157146626","seed","","","None","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"428807157146626/428807157146626_5977981765562443","1975","1205","1","428807157146626_5977981765562443","data","data.*","fetched (200)","2022-10-01 19:24:56.460324","Facebook:/<page-id>/posts","【千色Citistore獨家購物禮遇 送你HK$50購物禮券】  東亞銀行  x  千色Citistore獨家購物禮遇，大至電器廚具，細至服飾零食，等你可以一次過入手！  由即日起至2022年11月2日，憑東亞銀行信用卡喺千色Citistore店舖消費，當日累積滿 HK$600，即送你HK$50購物禮券一張🌟！每週名額有限，送完即止，仲唔快啲去shopping賺獎賞😎？  優惠又點止咁少啊，千色Citistore即日起至10月11日舉行激拼購物日，多款特價貨品額外9折（小家電95折），憑東亞銀行信用卡選購指定優惠貨品可再額外95折！心動不如行動啦！  優惠詳情👉www.hkbea.com/citistore  #東亞銀行 #東亞銀行信用卡 #BEA #BEACreditCard # #Shopping #千色Citistore #Citistore 借定唔借？還得到先好借！ 須受條款及細則約束。","2022-09-30T11:15:22+0000","","","","BEA 東亞銀行","428807157146626","","ranked","0","True","","7","NONE","","7","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","428807157146626_5977981765562443","","","","","","",""
"428807157146626/428807157146626_5977981765562443/428807157146626_5977981765562443","4203","1975","2","428807157146626_5977981765562443","empty","","fetched (200)","2022-10-12 08:16:24.183675","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"428807157146626/428807157146626_5977981765562443/428807157146626_5977981765562443","4204","1975","2","428807157146626_5977981765562443","offcut","","fetched (200)","2022-10-12 08:16:24.183675","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","0","True","","","",""
"428807157146626/428807157146626_5974879362539350","1976","1205","1","428807157146626_5974879362539350","data","data.*","fetched (200)","2022-10-01 19:24:56.460324","Facebook:/<page-id>/posts","【《我係小忌廉40週年前夜祭 - 香港音樂祭2022期間限定店》購物禮遇🌟專享8折優惠】  「星空裡萬物在轉💫歷億萬年🎶～」有魔法少女始祖之稱嘅「我係小忌廉」出年就要踏入40週年喇！朗豪坊將會聯同kkplus，喺10月1日至10月31日特設期間限定店！準備去探索小忌廉嘅魔法世界？記得帶埋東亞銀行JCB白金信用卡，去會場買限定紀念品可享8折優惠😍！全新客戶成功申請東亞銀行JCB白金信用卡並憑卡簽賬滿指定金額，仲送你高達HK$2,000現金回贈💰  更可專享以下多款精彩禮遇添～ 美食優惠✨JCB精選日本餐廳 🔸於特選餐廳惠顧堂食，憑卡單一簽賬滿HK$100或以上，即享8折優惠  購物禮遇🎁 🔸於指定特選商店憑卡簽賬專享3%折扣優惠  未有東亞銀行JCB白金信用卡？立即申請，享盡迎新及購物優惠！  優惠詳情👉🏻 www.hkbea.com/jcbwelcome  #東亞銀行 #東亞銀行信用卡 #JCB白金信用卡 #BEA #BEACreditCard # #Shopping #迎新獎賞 #現金回贈 #我係小忌廉 #朗豪坊 #我係小忌廉40週年前夜祭  借定唔借？還得到先好借！ 須受條款及細則約束","2022-09-30T04:01:19+0000","","","","BEA 東亞銀行","428807157146626","","ranked","0","True","","7","NONE","","7","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","428807157146626_5974879362539350","","","","","","",""
"428807157146626/428807157146626_5974879362539350/428807157146626_5974879362539350","4205","1976","2","428807157146626_5974879362539350","data","data.*","fetched (200)","2022-10-12 08:16:24.557058","Facebook:/<post-id>/comments","強烈要求出小忌廉信用卡","2022-10-02T15:23:55+0000","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"428807157146626/428807157146626_5974879362539350/428807157146626_5974879362539350","4206","1976","2","428807157146626_5974879362539350","data","data.*","fetched (200)","2022-10-12 08:16:24.557058","Facebook:/<post-id>/comments","你好Ada Chan，多謝你嘅留言。我們已將你嘅意見向有關部門反映。謝謝。","2022-10-05T06:20:31+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-10-02T15:23:55+0000","強烈要求出小忌廉信用卡","",""
"428807157146626/428807157146626_5974879362539350/428807157146626_5974879362539350","4207","1976","2","428807157146626_5974879362539350","offcut","","fetched (200)","2022-10-12 08:16:24.557058","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","5","True","","","WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEUxTVRreE5qWTJNak00T1Rrd09Eb3hOalkwTnpJME1qTTEZD","WTI5dGJXVnVkRjlqZAFhKemIzSTZANekkzTnpjek1Ea3lPRGs0T0RnM09qRTJOalE1TlRBNE16RT0ZD"
"428807157146626/428807157146626_5974607402566546","1977","1205","1","428807157146626_5974607402566546","data","data.*","fetched (200)","2022-10-01 19:24:56.460324","Facebook:/<page-id>/posts","心臟病及中風係全球嘅頭號殺手，每年導致1700 多萬人死亡，相等於每兩秒就有一個人死於心血管疾病。世界心臟組織聯會將每年嘅9月29日訂為「世界心臟日」，全球有超過100個國家參與，希望一齊提高公眾對心血管疾病嘅警覺性，以及推廣健康嘅生活方式。 由友邦保險（國際）有限公司（於百慕達註冊成立之有限公司）推出嘅人壽保險 —「守康易危疾保」提供重點保障切合你嘅預算，並涵蓋香港其中三大最常見嘅危疾，呢個係每年續保嘅計劃，就癌症、心臟病及中風提供保障，保費相宜而且保證續保至受保人85歲。有左更好嘅保障，萬一面對人生驟變嘅時候就可以更安心！  人壽保險 — 危疾保障  「守康易危疾保」  Click入去了解更多: https://bit.ly/3y2VwQ9  #東亞銀行 #BEA #AIA #保險服務 #InsuranceSolutions  世界心臟日網頁 http://worldheartday.org.hk/about-us  以上內容僅於香港境內閱覽之用，資訊只供參考，所載之資料皆只供說明用途。  此保險計劃是友邦保險（國際）有限公司（於百慕達註冊成立之有限公司）（「友邦保險」）而非東亞銀行有限公司（「東亞銀行」）的產品。 東亞銀行已於保險業監管局註冊為持牌保險代理機構，並擔任友邦保險的指定持牌保險代理人。本宣傳品只載有一般資料及只供參考，亦不構成任何銷售建議及／或有關產品之推介。於投保保險產品之前，客戶須完成財務需要分析。就產品詳情、主要不保事項和主要產品風險請參閱相關產品簡介。「守康易危疾保」透過東亞銀行只可以基本計劃形式投保。本宣傳品並不包含保單的完整條款，有關完整條款載於保單契約中，如欲在投保前參閱保險合約之樣本，你可向友邦保險索取。 「守康易危疾保」乃一份不含任何儲蓄成分的危疾保障計劃。所有保費用於支付保險及相關費用。若閣下不滿意保單，閣下有權在冷靜期內取消保單，並獲退還已繳付的所有保費及保費徵費。閣下須於冷靜期內（即由交付新保單或冷靜期通知書給閣下或閣下指定代表之日緊接起計的21個曆日內（以較早者為準））將已簽署的書面通知送達友邦保險（國際）有限公司之客戶服務中心：香港北角電氣道183號友邦廣場12樓。冷靜期結束後，若閣下在期滿前取消保單，閣下不會獲發還任何已繳付的保費總額。 有關本宣傳品所陳述之收益，請留意保單持有人須承受友邦保險的信貸風險。若保單持有人終止及／或取消本保單，其已繳付的保費並不會獲得退還。","2022-09-29T11:00:01+0000","","","","BEA 東亞銀行","428807157146626","","ranked","0","True","","8","NONE","","8","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","428807157146626_5974607402566546","","","","","","",""
"428807157146626/428807157146626_5974607402566546/428807157146626_5974607402566546","4208","1977","2","428807157146626_5974607402566546","empty","","fetched (200)","2022-10-12 08:16:24.903108","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
