"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id","summary.order","summary.total_count","summary.can_comment","parent.created_time","parent.message","paging.cursors.before","paging.cursors.after"
"173303096034293","1348","None","0","173303096034293","seed","","","None","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5814112738619939","2117","1348","1","173303096034293_5814112738619939","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【終・於・有・得・飛！】  等到頸都長，終於喺近日實施「0+3」入境安排！ 連酒店隔離嘅錢都慳返，係時候要大玩特玩！ 旅行都要有全盤Planning，無論係食、住、玩、買，連旅遊保都要揀得好，先至夠放心夠盡興！  依家投保星展TravellerShield旅遊保險，可享保費折扣及電子保費現金券即時兌換優惠，賺多啲優惠，用埋嚟旅行Shopping就最實際！ i) TravellerShield單次旅遊保障優惠 ・保費55折 ・額外HK$50 電子保費現金券即時兌換優惠* (現金券優惠碼: DBS50S) * 適用於保費 HK$250 (保費折扣後)或以上之保單 ii) TravellerShield全年旅遊保障優惠 ・保費8折 ・額外HK$200 電子保費現金券即時兌換優惠 (現金券優惠碼: DBS200A)  預備去旅行嘅你，即刻了解更多TravellerShield詳情： https://go.dbs.com/3UR5rlt 上述優惠必須符合投保要求，受有關條款及細則約束： https://go.dbs.com/3y4Rg2n   *以上保險計劃由安達保險香港有限公司(“安達保險”)承保。安達保險保留最終批核的權利。星展銀行(香港)有限公司為安達保險授權的保險代理商（牌照號碼 FA3000）。有關保險計劃詳情，請參閱保單條款。   #DBSHK #LivemoreBankless #TravellerShield #TimeToFly #Travel","2022-09-30T10:00:04+0000","","","","DBS","173303096034293","","ranked","1","True","","9","NONE","","9","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","173303096034293_5814112738619939","","","","","","",""
"173303096034293/173303096034293_5814112738619939/173303096034293_5814112738619939","5230","2117","2","173303096034293_5814112738619939","empty","","error (400)","2022-10-12 08:19:05.212511","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5814112738619939/173303096034293_5814112738619939","5231","2117","2","173303096034293_5814112738619939","offcut","","error (400)","2022-10-12 08:19:05.212511","Facebook:/<post-id>/comments","","","","","Unsupported get request. Object with ID '173303096034293_5814112738619939' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5810476635650216","2118","1348","1","173303096034293_5810476635650216","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【您為未來做好準備嗎？​】 ​ 要喺 2050 年退休，您每月需要HK$60,000 。您有無同財務規劃師商量點樣為退休做好準備？​ ​ 星展與 Manulife 詢問咗亞洲 6,000 多人，發現認知與現實嘅差距有可能妨礙您創造理想未來。​ ​ 按此 https://go.dbs.com/hk-befutureready-fb 進行小測試，了解自己為未來做好準備未！​ ​ #DBSHK #FutureReady #DBS #Manulife #financialplanning","2022-09-29T10:03:37+0000","","","","DBS","173303096034293","","ranked","0","True","","4","NONE","","4","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","173303096034293_5810476635650216","","","","","","",""
"173303096034293/173303096034293_5810476635650216/173303096034293_5810476635650216","5232","2118","2","173303096034293_5810476635650216","empty","","fetched (200)","2022-10-12 08:19:05.550446","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5810476635650216/173303096034293_5810476635650216","5233","2118","2","173303096034293_5810476635650216","offcut","","fetched (200)","2022-10-12 08:19:05.550446","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","0","True","","","",""
"173303096034293/173303096034293_5808007809230432","2119","1348","1","173303096034293_5808007809230432","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【入錢到戶口從此更方便丨參加抽獎🎯瓜分100萬港元現金獎賞現金獎賞💰】  DBS digibank HK app 新設嘅 「 電子直接付款授權」 (eDDA) 授權入錢功能，幫您時刻捉緊投資機遇 ！想要增值財富？除咗投資，您仲有一個機會！ 👀  而家只需要登入DBS digibank HK app >選擇「繳款及轉賬」 >「eDDA授權入錢」 > 「綁定入錢」 ，就可以綁定您其他同名本地銀行戶口，兼授權即時入錢到您嘅星展戶口。由即日起至2022年10月31日，存入總額達 HK$10,000 就可以登記參加抽獎🎯，保證瓜分100萬港元現金獎賞！🎉🎊  💡小貼士💡 善用 eDDA 服務及時付款，高達100萬港元或人民幣隨「存」隨到🕝，無論開立定期存款、轉賬畀朋友或找卡數💳，從此更方便快捷！  立即登記參加抽獎： go.dbs.com/hk-edda2022-f-zh  優惠受有關條款及細則約束。 借定唔借，還得到先好借！  #DBS #DBSHK #ThisisDBSDigibanking #LivemoreBankless #ResponsibleBanking #digitalbanks #digitalpayments #epayment #eDDA","2022-09-29T04:00:28+0000","","","","DBS","173303096034293","","ranked","0","True","","12","NONE","","12","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","173303096034293_5808007809230432","","","","","","",""
"173303096034293/173303096034293_5808007809230432/173303096034293_5808007809230432","5234","2119","2","173303096034293_5808007809230432","empty","","fetched (200)","2022-10-12 08:19:05.874207","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5808007809230432/173303096034293_5808007809230432","5235","2119","2","173303096034293_5808007809230432","offcut","","fetched (200)","2022-10-12 08:19:05.874207","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","0","True","","","",""
