bank,date,message,shares,pos_reaction,neg_reaction
ZA,2022-09-26,"【突發：中巨獎有秘訣？有人用 $60 就贏到 $1,000,000?!】  呢個人就係新一位「百萬勁抽」幸運兒雷先生，成為第二位贏得港幣一百萬嘅 ZA Bank 用戶！👏 見到佢喺片入面笑到四萬咁口講到明自己會點用呢筆獎金，就知道呢一百萬對佢意義有幾大！  不過對比「點用」，可能大家會更想知雷生係「點中」！好啦一於喺度絕密公開：其實佢… 就喺⭐️九龍佐敦寶靈大廈地下嘅 7-Eleven 中獎的！⭐️，因為呢度就係佢用 ZA Card 消費咗六十幾蚊而抽到中獎嘅「百萬勁抽券」嘅地方！  你都好想一沾旺氣？ 機會嚟啦！由即日起至 9 月 30 日，只要你係 ZA Bank 客戶兼用 ZA Card 喺呢間 7-Eleven 消費任何金額，我哋就額外送你多一張 9 月「百萬勁抽券」，畀你多個機會獨贏一百萬現金*！記住只限寶靈大廈嘅 7 仔先有㗎！🉐  #便利店總有一間喺左近 #但帶挈雷生贏到一百萬嘅就只此一間 #旺爆你 #ZABank #ZACard  ------- *由即日起至 2022 年 9 月 30 日，於九龍佐敦寶靈街 8 號寶靈大廈地下 7-Eleven 用 ZA Card 消費任何金額一次，即可完成任務，在 ZA Quest 領取額外百萬勁抽券。7-Eleven 並非此推廣活動的參與者。受條款及細則約束：https://bit.ly/39WVh01",0,23,5
ZA,2022-09-23,【又食又拎基本啦！🍽 食勻港九再拎足 11% 回贈！😋】   TGIF! 常識題：放假食乜好？ 個腦係咪即刻諗起好多間餐廳？   咁就啱啦！無論想食乜，只要你係 ZA Bank 客戶兼用 ZA Card 去以下餐廳消費，就可以享有 11% 回贈*！優惠去到 9 月 30 日咋，想食乜就趁快啦！   🍗食肉獸必食  燒肉男 Yakiniku Otoko – 大涮日式燒肉放題 🥩  Wingman HK – 全港唯一慢煮再炸嘅雞翼專門店 🍖  Maka Hiki – 特色夏威夷 poke bowl 冇得輸 🥗   ☕️慢活之選  Preface Coffee & Wine – 用年代劃分嘅咖啡你試過未 ⏳  Soft Thunder – 新鮮出爐嘅牛角包等緊你 🥐  hara kako – 來一杯手沖精品咖啡細味人生 ☕️   🌯舌尖去旅行  Bedu HK – 驚喜中東美食 🍲  Enso – 去日式居酒屋止住鄉愁先 🍶  HANDS - Craft Beer & Magic – 有手工啤酒有創新佐酒菜仲有駐場魔術師 🍻   講住咁多先，不過  ZA Card 嘅優惠又點止咁少！即刻睇吓仲有邊啲心水餐廳有 11% 回贈啦： https://bit.ly/3dw9ov6   #開飯啦 #成個星期出街食是常識吧 #ZABank #ZACard  *推廣由即日起至 9 月 30 日，憑 ZA Card 於指定餐廳消費可享 11% ZA Coin 回贈。優惠受條款及細則約束： bit.ly/3qVJTXc,4,20,2
ZA,2022-09-17,【SHAKE SHACK x ZA Bank 賞你免費漢堡】😋  過咗中秋，和煦嘅陽光下終於帶有陣陣微風，呢個天氣最適合去公園野餐！如果可以望住個海景，歎住大大個漢堡🍔、大大杯汽水🥤就最爽喇！   機會嚟喇，飛雲！依家只要參加以下有獎遊戲，就有機會贏得免費 SHAKE SHACK 單層漢堡一個，名額 100 個 🤩！即刻叫埋朋友按以下步驟參加啦～  1️⃣ Like/讚好 ZA Bank 專頁及本帖文 2️⃣ 於本帖文下留言分享自己最鍾意嘅 SHAKE SHACK 漢堡 3️⃣ Tag/標記三個想一齊去野餐嘅朋友  截止時間：9 月 25 日晚上 11 時 59 分  想再獲得更多 SHAKE SHACK 滋味獎賞，就要記得每次用 ZA Card 消費後參加「最勁抽」啦！  #由圓方分店行去西九野餐啱啱好 #由PP去添馬公園又得 #喺ifc望住海景都一樣歎 #ZABank #ZACard #SHAKESHACK ------- * ZA Bank 會隨機抽出 100 名參加者獲得 Shake Shack 免費單層漢堡換領券一張。得獎者名單將於 2022 年 9 月 30 日或之前於 ZA Bank Facebook 專頁內公佈。活動受條款及細則 (bit.ly/3eUkb2G) 約束。,618,1102,0
ZA,2022-09-16,"【百萬勁抽限定！L 先生連環幸運事件】  23歲就有一百萬係咩概念？小編答你唔到，不過可以幫你問吓 8 月「百萬勁抽」嘅得獎者，年紀輕輕就贏咗 HKD 1,000,000 嘅 L 先生！🤑  咁好彩贏咗一百萬，L 先生當然要同更多人分享，將呢份運氣延續落去！如果你同 L 先生一樣係 23 歲  ，又係住九龍城區，只要用 ZA Card 消費  就額外送你 10 張新一輪「百萬勁抽券🎟」*，下一個百萬贏家隨時係你！  其他 23 歲用戶或者  九龍城區居民用ZA Card 消費  ，都可以獲得 1 張額外「百萬勁抽券🎟」*，快啲登入 ZA Bank App 睇吓啦～  #召喚所有23歲嘅年輕面孔 #同埋九龍城區嘅鄰居 #一齊嚟沾吓L先生嘅旺氣 #其他年紀同地區都要加油 #ZABank #ZACard —————————— *由即日起至9月22日，用ZA Card消費任何金額一次，即可到ZA Quest 領取額外百萬勁抽券。",0,33,7
ZA,2022-09-10,【究竟邊個中咗一百萬 🤑⁉️】  數字有分先後！今期「百萬勁抽」獨贏號碼喺… 🥁 🥁 🥁  53F8Z  恭喜今期嘅百萬勁抽大贏家 L** Y******！💰 唔知一百萬到手，你又有咩打算呢？🤔  好嘢係唔可以畀佢停！🙌 月餅都未食晒，下期嘅「百萬勁抽券」就已經出爐啦！♨️ 記得記得記得開始儲券啦！🎟️  #百萬勁抽 #ZABank #ZACard #開獎定開爐好 #人月兩團圓嘅日子 #中唔中獎都好好同身邊嘅人慶祝啦 ------- 推廣期由即日起至 2022 年 12 月 31 日。用戶參與最勁抽或完成指定任務後有機會獲得百萬勁抽券，ZA Bank 將於每輪活動結束後抽出其中一張百萬勁抽券，該券的擁有者將會獲得港幣一百萬現金獎賞。受條款及細則約束：https://bit.ly/39WVh01,3,51,8
ZA,2022-09-06,【⚠️ 見 link 即停 ⚠️】  幾經辛苦終於脫離 3️⃣ 2️⃣ 1️⃣ 無限輪迴搶到飛睇 concert，突然收到疑似嚟自 ZA Bank 嘅 SMS，叫你撳入條 link 完成交易？  提提你，按照 #金管局 嘅要求，ZA Bank 唔會經短訊或電郵嘅 link，帶你去網站或者 app 進行交易，亦唔會用呢個方式要求你登入 ZA Bank App 處理戶口問題或提供賬戶名稱、登入密碼同埋一次性密碼（OTP）呢類敏感個人資料。  撳入去任何聲稱係 ZA Bank 或執法機構發出嘅 link 之前，記住要諗清楚，別不小心望少一眼 🎶。有任何懷疑，最好都係透過 ZA Bank App 📱 或者打去 24 小時客戶服務熱線 (852) 3665 3665 ☎ 聯絡我哋！  想知多啲，仲可以去埋金管局嘅網頁（呢條 link 就可以放心 click 👉）：https://bit.ly/3RCapjv   #ZABank #虛擬銀行 #數碼key睇緊啲 #撳link前要三思 #小心騙徒,0,22,3
ZA,2022-09-02,【ZA Card 多重優惠陪你開學！🎒】  同學各位找個位，這是你的開學禮......遇！🎶 因為 ZA Card 搵嚟一系列又潮又實用嘅返學用品同服飾，全部有折扣^之餘再賺高達 11% ZA Coin 回贈*！大家快啲 take notes 記低以下碌 ZA Card 先有嘅著數 📝  🎧 Street Value：購買指定品牌時使用優惠碼「ZA_BTS15」即享 15% 折扣  👕 ITeSHOP：結賬時使用優惠碼「ZA10」即享 9 折優惠  👟 LANE EIGHT：首次消費享 9 折優惠、免費送貨及退換  🥜 Keeping it real & raw：選購「Back to School」系列產品，結賬時使用優惠碼「ZA10」可享 9 折優惠；或消費滿 HKD 500，使用優惠碼「ZA50」結賬即減 HKD 50  💄 Sorra Mart ︎ 嚴選小眾美妝好物：購買指定品牌時輸入優惠碼「ZASCHOOL」結賬，可享 5% 折扣  #畢咗業嘅同學仔都享用得 #返緊社會大學嘅你都享用得 #ZACard #ZABank ------- ^優惠由商戶提供，使用條件由各商戶決定，受條款及細則約束，詳情請向有關商戶查詢。 *於推廣期內憑 ZA Card 於指定商戶消費可享高達 11% ZA Coin 回贈。優惠受條款及細則 (bit.ly/3wv2n3R) 約束。,0,21,2
ZA,2022-09-01,"【買基金，賺最高 $1,888獎賞】  喺 ZA Bank 買基金，除咗可以 0 費用認購環球知名基金*，仲可以賺最高 HKD 1,888 現金獎賞！^  簡單 3 步賺最高 HKD 1,888 現金獎賞： 第 1️⃣ 步：開立投資戶口，最高 HKD 88 奬賞 第 2️⃣ 步：首次認購基金，最高 HKD 800 奬賞 第 3️⃣ 步：持有 HKD 10,000 或以上基金達 20 個交易日，最高 HKD 1,000 奬賞  👉 獎賞細則傳送門：https://bank.za.group/hk/fund  由開戶到認購基金只需最快 5 分鐘！#貨幣基金，股票基金，債券基金，平衡基金，各種類型基金一 App 搞掂。由科技、消費、天然資源、健康護理到 ESG 的基金主題都有齊，滿足你唔同嘅投資偏好同需要。  立即打開 ZA Bank App，開啟你的財富之旅！  #ZABank #基金 #投資 #財富自由 #zappyalfie #幫你善用一分一毫 ------- * 活動推廣期為即日至 2022 年 12 月 31 日。合資格用戶必須在推廣期內成功於 ZA Bank 開立投資賬戶，方可享推廣期內 0% 認購費優惠。受條款及細則約束： https://bit.ly/3QcOQWL ^ 活動推廣期為即日至 2022 年 9月 30 日。推廣期間，若用戶能滿足以下 3 項將可獲得奬賞。奬賞以 ZA Coin 形式發放，100 ZA Coin = HKD 1。ZA Coin 是由眾安國際金融服務有限公司營運的第三方獎勵計劃。用戶須將把銀行賬戶連接至 ZA Coin 賬戶。受條款及細則約束： https://bit.ly/3Pe19Aw • 現有 ZA Bank 用戶成功開通投資賬戶，最高可獲 8,800 ZA Coin。 • 成功開戶後，用戶首次成功認購基金（最低認購門檻為 HKD 100），最高可獲 80,000 ZA Coin。 • 用戶的每日基金總持倉等於或多於 HKD 10,000 並維持 20 個交易日，最高可獲 100,000 ZA Coin。 #開立投資賬戶所需的時間取決於實際情況而定。一般而言，在無需提交額外資料的情況下，現有 ZA Bank 用戶最快可於 5 分鐘內開通投資賬戶並完成認購基金。  重要風險聲明 投資涉及風險。此推廣資料只供參考，並不構成及不應被視為任何建議、推銷、遊說客戶認購或出售任何投資產品。以上資料、產品及服務僅為香港居民而設。 由 ZA Bank Limited 提供",0,23,3
ZA,2022-08-26,【貪靚，更要貪心 ✨ 美容買一送一再賺回贈！】  扮靚可以話係女生嘅終身事業，要以最佳狀態示人，就要勤力潔面、保濕、防曬、化妝、做 facial、買靚衫、襯對靚鞋、配多個靚袋……  好彩有 ZA Card 一系列嘅美容及購物優惠，就算再多步驟都唔怕！Girls，快啲搵埋閨密一齊出動，歎個 spa 再瘋狂 shopping 啦～👯‍♀️  💆‍♀️ 美容按摩項目買一送一 💆‍♂️ 工作再忙，都要畀自己放鬆身心！用 ZA Card 去 A M O O M A Spa & Sanctuary、天沐‧養生 He-mu Spa、L'Erbolario、 Miris Spa岩石按摩專門店等做水療、按摩或美容項目都有買一送一^，啱哂約埋好姊妹去 😍  💋 美容護膚品牌高達 11% 回贈 💄 呢兩年長期戴口罩侷住塊面，因此更要做好護膚！依家憑 ZA Card 去 Rituals Cosmetics、Caudalie、SOFINA Hong Kong、Sorra Mart ︎ 嚴選小眾美妝好物等都有高達 11% 購物回贈*，陪你好好呵護肌膚！  👗 潮流服飾品牌高達 11% 回贈 👠 正所謂人靠衣裝，著住套靚衫就連行出嚟都自信啲！用 ZA Card 去  ITeSHOP、PUMA、STACCATO、Street Value 等購物，即享高達 11%  回贈*，日日轉換形象都冇難度啦！  美容按摩買一送一詳情 👉 bit.ly/3dUhTzU 購物高達 11% 回贈詳情 👉 bit.ly/3PPlCMg  #男士都可以買衫扮靚按摩㗎 #請女朋友去做spa又得 #送禮畀阿媽都得 #ZACard #ZABank ------- ^ 由即日至 2022 年 12 月 31 日，憑 ZA Card 於特選商戶購買指定美容項目，即享買一送一優惠。優惠由商戶提供，使用條件（包括但不限於美容項目種類、價錢、優惠享用時間、使用方式等）由各商戶決定，詳情請向有關商戶查詢。名額有限，先到先得。受活動條款及細則 (bit.ly/3cmeutm) 約束。  * 於推廣內憑 ZA Card 於指定商戶消費可享高達 11% ZA Coin 回贈。優惠受條款及細則 (bit.ly/3wv2n3R) 約束。,3,27,4
ZA,2022-08-22,"【突發！百萬勁抽贏家現身 ZA 嘉年華🥇】  如果銀行戶口突然多咗 HKD 1,000,000，你會有咩反應？會笑到見牙唔見眼😆，定係覺得難以置信😲？  睇片就知 7 月份百萬勁抽嘅得主馬小姐兩樣都係！日前 ZA Bank 就同馬小姐舉行簡單而隆重嘅頒贈儀式，正式送出一百萬現金！之後，馬小姐重同我哋去咗🎪ZA 百萬勁抽嘉年華🎪玩返轉，兼分享平時用 ZA Card 嘅心得添！  想好似馬小姐咁，獨贏一百萬現金？依家用邀請碼 「IWANT1M」於 ZA Bank 成功開戶，即刻送你 3 張「百萬勁抽券」，競逐 8 月份嘅「百萬勁抽」*^！再學馬小姐咁多多用 ZA Card 消費，就可以收集更多「百萬勁抽券」，提升中獎機會！💰  開戶傳送門👉 https://bit.ly/3vUKYBk  #恭喜哂 #等我都去ZA百萬勁抽嘉年華沾吓旺氣先 #最後兩日啦 #屯門市廣場見 #ZABank #ZACard ------- * 由即日至 8 月 27 日 ，合資格客戶必須在開戶時準確輸入開戶邀請碼「IWANT1M」或在指定開戶登記頁以手機號碼、一次性短訊手機驗證碼及電郵登記 ，並用同一手機號碼於最新 ZA Bank App 版本開立 ZA Bank 戶口，再於成功開戶後 14天使用 ZA Card 消費至少HKD 1一次。受條款及細則 (https://bit.ly/3BRA1V6) 約束。 ^ 推廣期由即日起至 2022 年 12 月 31 日 (每個曆月為一輪活動)。用戶參與最勁抽或完成指定任務後有機會獲得百萬勁抽券，ZA Bank 將於每輪活動結束後抽出其中一張百萬勁抽券，該券的擁有者將會獲得 HKD 1,000,000 現金獎賞。受條款及細則 (https://bit.ly/39WVh01) 約束。",3,31,3
