bank,id,date,message,pos_reaction,neg_reaction,shares,comments,Main_Business_Seg,Deposits,Foreign_Exchange,Acquisition,Loan,Mortgages,Credit_Cards,Investments,Insurance,Payment_and_Transfer,Branch,MPF,WM,Main_Topics,Education,Rebate,Beauty,Lucky_Draw,Travel,Bill_Payment,Food_and_drinks,Rewards,Salary,Shopping_and_Entertainment,Transport,Health_and_Wellness,Event_and_Festival,Celebrity_and_Influencers,Award,Community,Green,Consumption_Voucher,Metaverse_and_NFT,Promotion,Reminder,News,Remarks,hour,hour_time,Popularity
CITI,26641,44706,"【全新Citi The Club信用卡廣告片登場🌟 立即睇片兼答啱問題就有機會贏走HK$300 city'super 現金券 】   想您嘅銀包有一張信用卡可以畀您由早到晚賺到盡，仲可以全面提升您嘅生活品味？即刻睇片🎞️ 跟住 Ian 陳卓賢 ，等佢帶住您用全新Citi The Club信用卡，由早到晚每一個消費體驗都賺盡Club積分！仲可以用埋Club積分抵銷簽賬金額，又或者快人一步兌換演唱會飛同最新潮物！片入面仲有個小驚喜，您又睇唔睇到呢~  (畀個提示您，喺條片嘅1:30出現🤭)   如果您都想同Ian一樣每日由早到晚賺到盡同追求更高層次生活品味，新客戶立即申請Citi The Club信用卡享5,000 Club積分迎新獎賞 (價值HK$1,000) ，仲有以下一系列優惠：   🎁 指定商戶高達4% Club積分簽賬回贈 🎁 其他商戶1%無上限Club積分簽賬回贈 🎁 Club積分兌換獎賞 🎁 尊享更多尊屬禮遇   💳 立即出卡: citibank.hk/cititheclub4a   睇完廣告片留言話我哋知啦，Ian由早到晚用Citi The Club信用卡每一個消費體驗賺高達幾多% Club積分簽賬回贈？立即參加【 齊齊估Citi The Club信用卡可以賺高達幾多%Club積分簽賬回贈有獎遊戲】，留言話我哋知啦，即有機會贏走HK$300 city'super 現金券 (名額30位)！   分享活動日期： 即日至5月31日23:59 活動條款及細則請參閱: citibank.hk/cititheclubfbtnc4   優惠受條款及細則約束。 借定唔借？還得到先好借！",5128,41,746,1922,Credit_Cards,0,0,1,0,0,1,0,0,0,0,0,0,Celebrity_and_Influencers,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,陳卓賢 迎新獎賞 積分簽賬回贈 有獎遊戲,12,12,1
CITI,26557,44810,【Citi Hong Kong中秋「賞月🌝有賞」有獎遊戲 🌕數金幣贏至潮耳機🎧】  就快到中秋佳節，點少得嘆住月餅🥮咁賞月🌕？  為迎接一連三日假期兼中秋賞月夜，Citi Hong Kong同大家訓練好眼力👀！即玩呢個「賞月」小遊戲，就有機會贏走至潮耳機🎧！  參加遊戲方法： 1. 追蹤 @citihongkong 專頁同讚好呢個post 2. 立即睇片，留意問題：8張卡牌中總共有幾個「圓月金幣」 ？ 3. 留言位置話我哋知正確答案，再tag 2位朋友一齊玩  完成晒以上步驟，即可參加抽獎，有機會贏走至潮耳機🎧（名額共8位）！ 活動日期：即日起至9月12日23：59  公佈得獎者名單：9月30日或之前 活動條款及細則請參閱：citibank.hk/citihkgame4a,1737,0,918,1785,Acquisition,0,0,1,0,0,0,0,0,0,0,0,0,Event_and_Festival,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,追蹤 讚好 留言 tag朋友 抽獎 耳機,17,17,0.565720524
CITI,26627,44720,"【💡Citi 積分兌換Bloom Coins全新登場 綁定Citi VISA信用卡享雙重賞❗❗】  好消息，Citi 積分兌換喺最新消費回贈平台Bloom登場啦✨依家用Citi積分喺Bloom App兌換Bloom Coins，即送您高達額外4,500 Bloom Coins，畀您輕鬆換取不同商戶現金券及人氣禮品🎁！  於推廣期內喺Bloom App綁定Citi VISA信用卡後進行合資格簽賬，無論吃喝玩樂樣樣都可獨家享額外1% Bloom 現金回贈*！  想知點先可以賺完再賺? 📌登記成為Bloom用戶，綁定Citi VISA信用卡並進行任何消費➔即賺HK$20 Bloom迎新獎賞^ 📌兌換Citi積分至Bloom Coins➔賺額外Bloom Coins 📌用Bloom Coins兌換商戶現金券 📌使用商戶現金券時用Citi VISA信用卡消費➔慳完再賺Bloom 現金回贈+Bloom Coins！  了解優惠詳情👉citibank.hk/bloom4   🗓️推廣期：2022年6月6日至8月31日  💳未有Citi VISA信用卡？即上 citibank.hk/card4 出卡賺迎新賞HK$1,000回贈 💰經 Citi Mobile App 申請「分期更好使」計劃將簽賬分期還款，卡數點找由您話事。即上 http://citibank.hk/paylite4 了解更多。  *現金回贈由Bloom提供，請參閱Bloom App上的商戶列表及回贈率。 ^迎新獎賞由Bloom提供，並可能不定時更新，請以Bloom App上顯示為準。  優惠受條款及細則約束。 借定唔借？還得到先好借！",3816,27,93,238,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Rebate,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Bloom 消費回贈 商戶現金券,16,16,0.523799127
CITI,26594,44760,"【☀️夏日賺The Point積分攻略！價值超過HK$1,500 The Point積分等緊您😍！】  用Citi積分兌換The Point積分優惠再登場✨！今次只需要用Citi信用卡完成三個簡單任務，您就有機會賺價值超過HK$1,500嘅 The Point積分‼️The Point積分可以喺25個新地商場憑分直接當錢使，兌換泊車優惠同其他精彩禮品都得🎁！  輕鬆過三關，每關都有唔同嘅The Point積分送畀您🔥： 1️⃣   喺The Point App用Citi信用卡登記「免觸式泊車服務」送您4,000 The Point積分，畀您輕鬆兌換泊車優惠 2️⃣   喺The Point App用Citi積分兌換The Point積分，賺高達額外375,000 The Point積分(價值HK$1,500) 3️⃣   去Citi Mobile App嘅Get More登記大抽獎，並進行一次Citi積分兌換The Point積分，即有機會贏取100,000 The Point積分(價值HK$400)  了解優惠詳情👉citibank.hk/thepoint4    🗓️推廣期：2022年7月1日至8月31日  💳未有Citi信用卡？即上 citibank.hk/card4 出卡賺迎新賞HK$1,000回贈 💰經 Citi Mobile App 申請「分期更好使」計劃將簽賬分期還款，卡數點找由您話事。即上 http://citibank.hk/paylite4 了解更多。  優惠受條款及細則約束。 借定唔借？還得到先好借！",3799,34,32,77,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Rewards,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,任務 積分 新地商場 泊車優惠 禮品 大抽獎,18,18,0.491572052
CITI,26584,44768,"【🐼foodpanda 獨家獎賞高達HK$110 😍！】   無論您係foodpanda新客戶或現有客戶，憑Citi信用卡於foodpanda簽賬，嗌美食外賣🍽，抑或訂購生活百貨🛍️都可輕鬆賺盡獎賞！用全新Citi The Club信用卡畀錢，仲可以賺4% Club積分簽賬回贈！精明嘅您唔好錯過喇👀～   🐼 foodpanda新客戶首單消費滿HK$150，輸入優惠碼「CITINEW」，即減HK$50！ 🐼 foodpanda現有客戶消費滿HK$200，輸入優惠碼「CITI60」，即減HK$30再額外送HK$30 foodpanda優惠券畀您下次用。 💰推廣期內可享消費獎賞高達HK$110！   名額有限，先到先得。 了解優惠詳情👉 citibank.hk/foodpanda4  🗓️推廣期：即日起至8月19日  💳未有Citi信用卡？即上 citibank.hk/card4 出卡賺迎新賞HK$1,000回贈 💰經 Citi Mobile App 申請「分期更好使」計劃將簽賬分期還款，卡數點找由您話事。即上 http://citibank.hk/paylite4 了解更多。   受條款及細則約束 。 借定唔借？還得到先好借！",2410,20,28,101,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Rewards,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,foodpanda 積分簽賬回贈 優惠碼,16,16,0.314061135
CITI,26614,44746,"【期間限定⏰ 兌換Circle K現金券高達HK$80加碼賞🤩！】  依家用Citi積分喺Circle K 嘅OK齊齊印App兌換OK現金券，滿以下指定金額即送您額外OK現金券，獎賞高達HK$80✨ 🎯滿HK$50，額外賺HK$10 🎯滿HK$150，額外賺HK$40 🎯滿HK$250，額外賺HK$80  📣炎炎夏日，再用埋現金券買阿波羅 MONAKA雪糕，即享OK 會員限定WOW價優惠 (7月7日至13日)！  輕鬆換，隨時使，換得多賞得多，買乜都OK👌！名額有限，即刻去「OK齊齊印」App行動喇📱～  了解優惠詳情👉 citibank.hk/circlek4 📅推廣期：2022年7月1日至7月27日  💳未有Citi信用卡？即上 citibank.hk/card4 出卡賺迎新賞HK$1,000回贈 💰經 Citi Mobile App 申請「分期更好使」計劃將簽賬分期還款，卡數點找由您話事。即上 http://citibank.hk/paylite4 了解更多。  優惠受條款及細則約束。 借定唔借？還得到先好借！",2168,14,40,112,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Rewards,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Circle K 現金券 阿波羅 OK齊齊印,12,12,0.286157205
CITI,26567,44791,"【Citi客戶專享📢搭的士必備@HKTaxi優惠😍！】  今次為您帶嚟多個限定優惠，輕鬆賺高達每月HK$540 HKTaxi優惠券搭車用！喺HKTaxi 用Citi信用卡就有HKTaxi優惠券送返畀您✨！  🚕 新用戶綁定Citi信用卡即可獲HK$20 優惠券 🚕 搭得多，賞得多，以Citi信用卡繳付車費每月可獲高達HK$90優惠券 ➡️搭夠4次，即送HK$20優惠券 ➡️搭夠6次，再送HK$20優惠券 ➡️搭夠10次，額外送多總值HK$50優惠券 🚕憑Citi積分抵銷車費滿HK$80，每次即可獲贈HK$20 HKTaxi優惠券，每月高達獎賞4次，合共HK$80 HKTaxi優惠券  用Citi積分兌換Taxi Dollars再賺額外HKTaxi優惠券🔥！ 🚕用Citi積分喺HKTaxi兌換滿600 Taxi Dollars，每次即可獲贈HK$150　HKTaxi優惠券，每月高達額外HK$300優惠券 ！如果之前未換過，首次兌換再送額外HK$50！ 💡換完Taxi Dollars除咗自己用，仲可以送畀人用，請埋佢地搭的士又點話～   了解優惠詳情👉citibank.hk/hktaxi4  🗓️推廣期：即日起至9月30日  💳未有Citi信用卡？即上 citibank.hk/card4 出卡賺迎新賞HK$1,000回贈 💰經 Citi Mobile App 申請「分期更好使」計劃將簽賬分期還款，卡數點找由您話事。即上 http://citibank.hk/paylite4 了解更多。   *受條款及細則約束 。 借定唔借？還得到先好借！",1930,21,18,47,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Transport,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,HKTaxi 優惠券 綁定信用卡 積分抵銷車費 送畀人用,12,12,0.242663755
CITI,26559,44809,"【📱 網購必備：Amazon.com US$15折扣優惠✨！】  上網買心頭好就係想抵啲 👀？依家去 Amazon.com (US) 網站或手機應用程式以Citi Mastercard® 信用卡或扣賬卡消費滿US$90或以上，落單時用埋優惠碼「CITIMC15」即可享US$15折扣兼享免運費送貨至香港添‼️  無論您想買咩都好，都可以喺 Amazon.com (US) 搵到😍！咁方便，即刻去掃貨啦🛍️！  了解優惠詳情👉 citibank.hk/amazon-us4   🗓️推廣期：即日起至2022年12月31日  💳未有Citi信用卡？即上 citibank.hk/card4 出卡享高達HK$1,000回贈 💰經 Citi Mobile App 申請「分期更好使」計劃將簽賬分期還款，卡數點找由您話事。即上 http://citibank.hk/paylite4 了解更多。  優惠受條款及細則約束。 借定唔借？還得到先好借！  以上「Amazon.com」之連結將受制於第三方網站的有關條款。花旗銀行(香港) 有限公司對該網站之內容及閣下使用之有關內容一切概不負責。",1503,18,34,39,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Shopping_and_Entertainment,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Amazon.com 優惠碼 免運費 送貨至香港,16,16,0.188165939
CITI,26625,44726,"【Citi Mobile® App父親節特別版「快閃大抽獎」⚡送您至潮平板電腦(價值HK$3,999)】  今個父親節不如試吓打造潮爸？即日起至6月16日，Citi Mobile® App父親節特別版「快閃大抽獎」送您至潮平板電腦(價值HK$3,999)，送畀爸爸氹佢開心啦！即刻登入Citi Mobile® App嘅Get More登記「快閃大抽獎」兼喺6月14日至6月20日内透過「轉數快」轉入或轉出款項1次，又或者用Citi信用卡或扣賬卡完成1次交易，無最低簽賬要求，就係咁簡單就有得參加抽獎喇！  我哋會喺7月1日公佈並刊登幸運兒名單喺呢個網頁：citibank.hk/flashsale4aa。各位得獎者仲會收到SMS通知㗎！  未係Citi客戶又想參加「快閃大抽獎」？ 💳 成功出卡可享高達HK$1,000回贈，上 citibank.hk/card4 申請 💰 開立Citi Plus兼出信用卡享4.8%儲蓄年利率兼享12%現金回贈 (高達HK$1,200)，即上 citibank.hk/citiplus4n 申請 💰 開立Citigold可享高達HK$38,000現金回贈，即上 citibank.hk/citiwealth4z 申請  借定唔借？還得到先好借！ 受條款及細則約束。",1332,6,32,43,Acquisition,0,0,1,0,0,1,0,0,1,0,0,0,Lucky_Draw,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,父親節 大抽獎 平板電腦 轉數快 信用卡交易,8,8,0.167598253
CITI,26645,44701,【Citi x The Club x Ian 陳卓賢，今次會帶到咩surprise畀您？】   您銀包入面，係咪袋住好幾張信用卡？一張用嚟網購shopping、一張用嚟食飯、一張用嚟嗌外賣？ 每次都要用唔同信用卡拎offer，唔通每次簽卡前都要諗吓用邊張先最優惠？   嚟緊 Ian 陳卓賢 就會幫大家解決呢個難題。一張信用卡就可以畀您由早到晚每一個消費體驗都賺到盡，仲有更多意想不到嘅尊屬體驗等緊您！   想了解更多？記得密切留意Citi Hong Kong嘅Facebook或者Instagram專頁喇！   受條款及細則約束。 借定唔借？還得到先好借！,1259,10,52,84,Credit_Cards,0,0,0,0,0,1,0,0,0,0,0,0,Celebrity_and_Influencers,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,陳卓賢 信用卡offer 優惠,16,16,0.165502183
