"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"112963366857548","25436","None","0","112963366857548","seed","","","None","None","","","","",""
"112963366857548/112963366857548_634213971399149","25437","25436","1","112963366857548_634213971399149","data","data.*","fetched (200)","2022-10-12 08:39:42.568652","Facebook:/<page-id>/posts","【✈️0+3嘅時候，一定要玩住賺到夠！】 唔使隔離就有得飛！🥳最識飛，一定係賺住飛！ 只要用livi PayLater ，喺6️⃣大旅遊平台book機票酒店，賺高達13%現金回贈！ 新客戶開戶仲賞多$1, 000現金！  🤑開戶迎新獎賞   1️⃣用邀請碼「LIVI#1000」開戶及成功申請livi PayLater Mastercard®️，先賞你HK$100現金獎賞！  2️⃣用livi PayLater Mastercard消費，單筆消費滿HK$500，再賺走HK$900*！  😎livi PayLater x 6大旅遊平台 至抵優惠 即日起至10月31日，去 KKday、Texpert 專業旅運、agoda、Hotels .com、Expedia及 Klook 預訂機票、酒店住宿或吃喝玩樂行程，賺高達13%現金回贈，而各大平台都會有唔同優惠！   ✨livi PayLater點玩點分，由你話事  用livi PayLater book機票酒店，任何消費都可以即時分期！ ✅ 一簽自動分期，靈活自選期數3-36個月！  ✅  推廣期內首3個月免息  ✅  指定商戶賺高達8%現金回贈；全球網購賺5%現金回贈  了解更多指定商戶獨家優惠：https://bit.ly/3C3pXrP  立即download livi bank app，飛到盡，再賺到盡！👉🏻 https://bit.ly/3UAQkfK  #livi #livibank #liviPayLater #虛擬銀行 #VirtualBank #體驗所想 #livi最識玩 #6大旅遊平台 --- 受條款及細則約束，詳情瀏覽livi網站。 *獎賞將於合資格客戶完成首筆分期還款之後的30個曆日內存入其liviSave帳戶。 ^8% / 額外5%現金回贈於指定商戶以 livi PayLater Mastercard 進行合資格消費的現金回贈將於下一個曆月或之前存入。 借定唔借？還得到先好借！詳情請於 livi 網站或手機應用程式參閱 livi PayLater 產品資料概要、有關條款及細則及相關備註。","2022-09-23T09:59:57+0000","","",""
"112963366857548/112963366857548_634213971399149/112963366857548_634213971399149","25505","25437","2","112963366857548_634213971399149","data","data.*","fetched (200)","2022-10-12 08:40:05.075170","Facebook:/<post-id>/comments","Antony sir 好耐無開 live，係咪去咗 買樓","2022-09-28T15:39:47+0000","0","0",""
"112963366857548/112963366857548_634213971399149/112963366857548_634213971399149","25506","25437","2","112963366857548_634213971399149","data","data.*","fetched (200)","2022-10-12 08:40:05.075170","Facebook:/<post-id>/comments","livi bank送你港幣150元迎新獎賞！用我個邀請碼開戶，再用任何livi付款方式單次消費滿港幣100元或以上就賺到。  👇立即開戶，記得輸入我嘅邀請碼： [vkqw8pg4].  https://ms.livibank.com/promo/indexMGMHK.html#/inviteSharing?2AC28DC019C6503AF497746940DCE55C248DE3B1EED3CDF4751299898EBCDB093A2DBF1AAF767F92499908324DA2B15F","2022-09-28T20:33:31+0000","0","0",""
"112963366857548/112963366857548_634213971399149/112963366857548_634213971399149","25507","25437","2","112963366857548_634213971399149","data","data.*","fetched (200)","2022-10-12 08:40:05.075170","Facebook:/<post-id>/comments","https://ms.livibank.com/promo/indexMGMHK.html#/inviteSharing?2E3C2B503163AEF9358A4F8E4E517283C0758E55198B703A1B890E3E318136B0203B742CC036E8517C113498C4ACDAE7","2022-09-30T10:04:15+0000","0","0",""
"112963366857548/112963366857548_634213971399149/112963366857548_634213971399149","25508","25437","2","112963366857548_634213971399149","data","data.*","fetched (200)","2022-10-12 08:40:05.075170","Facebook:/<post-id>/comments","用我嘅邀請碼申請livi靈活貸💰享高達$2,500現金回贈！  😎一次批核之後，你可隨時加借，提早還$0收費，還款期長達60個月，夠哂靈活✌🏻低息現金到手，夢想隨時GO！同時成功開立埋 liviSave 戶口仲可賺額外現金獎賞！  受條款及細則約束。 借定唔借？還得到先好借！  👇立即申請，記得輸入我嘅邀請碼：[vkqw8pg4].  https://ms.livibank.com/promoSharing/shareFlexiLoanHK.html#/flexi?2AC28DC019C6503AF497746940DCE55C248DE3B1EED3CDF4751299898EBCDB093A2DBF1AAF767F92499908324DA2B15F","2022-10-07T12:45:54+0000","0","0",""
"112963366857548/112963366857548_634213971399149/112963366857548_634213971399149","25509","25437","2","112963366857548_634213971399149","offcut","","fetched (200)","2022-10-12 08:40:05.075170","Facebook:/<post-id>/comments","","","","",""
"112963366857548/112963366857548_632117901608756","25438","25436","1","112963366857548_632117901608756","data","data.*","fetched (200)","2022-10-12 08:39:42.568652","Facebook:/<page-id>/posts","【消費怕貴，不如用一卡分期！】 個個都講分期，但點分先係最好？ 分期消費，就梗係用真．分期卡livi PayLater！  ✅ 真方便 任何消費，一簽即時分期！  ✅ 真靈活 自選期數3-36個月，推廣期內首3個月仲免息！  ✅ 真著數 全球網購賺5%現金回贈。指定商戶享8%現金回贈，或更多額外獎賞！  livi PayLater，真係有咁好！一卡分期，你仲唔快啲嚟？  即刻download livi app 👉🏻https://bit.ly/3qOMu53  #livi #livibank #liviPayLater #虛擬銀行 #VirtualBank #體驗所想 --- 上述優惠受相關條款及細則約束，詳情請見livi網站。 借定唔借？還得到先好借！詳情請於 livi 網站或手機應用程式參閱livi PayLater產品資料概要、有關條款及細則及相關備註。實際批核結果取決於客戶的貸款金額、信貸評級以及livi考慮的其他因素。","2022-09-22T10:00:18+0000","","",""
"112963366857548/112963366857548_632117901608756/112963366857548_632117901608756","25510","25438","2","112963366857548_632117901608756","data","data.*","fetched (200)","2022-10-12 08:40:05.488176","Facebook:/<post-id>/comments","livi bank送你港幣150元迎新獎賞！用我個邀請碼開戶，再用任何livi付款方式單次消費滿港幣100元或以上就賺到。  👇立即開戶，記得輸入我嘅邀請碼： [vkqw8pg4].  https://ms.livibank.com/promo/indexMGMHK.html#/inviteSharing?2AC28DC019C6503AF497746940DCE55C248DE3B1EED3CDF4751299898EBCDB093A2DBF1AAF767F92499908324DA2B15F","2022-09-22T11:41:05+0000","0","0",""
"112963366857548/112963366857548_632117901608756/112963366857548_632117901608756","25511","25438","2","112963366857548_632117901608756","data","data.*","fetched (200)","2022-10-12 08:40:05.488176","Facebook:/<post-id>/comments","成功開立 livi bank 戶口可享 HK$150 現金獎賞！ 連同 livi 消費優惠，即可賺取合共 HK$850 回贈獎賞：  1️⃣ 成功開戶 | 單筆消費滿 HK$100 有 HK$150 迎新獎賞 2️⃣ 成功申請 livi PayLater Mastercard | 可賺 HK$100 迎新獎賞 3️⃣ livi PayLater Mastercard 在指定商戶如 Pinkoi、Nike、KKday 等以分期支付消費 | 可享 8% 現金回贈 4️⃣ livi PayLater Mastercard 在網上超市、美食外送自取平台如百佳、HKTVMall、Foodpanda 等非指定商戶進行網上簽賬並以分期消費支付 | 可享 5% 現金回贈 5️⃣ 享有 livimoment 娛樂體驗獎賞 | 指定商戶消費可享高達 20% 回贈#，一個月可賺高達 HK$100 回贈 6️⃣ livi 銀聯二維碼消費搖一搖獎賞享高達 100% 現金奬賞^，一個月可賺高達 HK$500 回贈  👇立即開戶，記得輸入我嘅邀請碼：  [tf4pekgr].","2022-09-24T07:02:01+0000","0","0",""
