"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id","summary.order","summary.total_count","summary.can_comment","parent.created_time","parent.message","paging.cursors.before","paging.cursors.after"
"367917229968244","1510","None","0","367917229968244","seed","","","None","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"367917229968244/367917229968244_5586668441426404","2278","1510","1","367917229968244_5586668441426404","data","data.*","fetched (200)","2022-10-01 19:27:54.218551","Facebook:/<page-id>/posts","【🎉 渣打國泰 Mastercard®專屬獎賞　送你高達 HK$800 購物禮券！🛍🎁】 成個衣櫃都要換季 🍁？去旅行要著新衫影靚相 🏞？ 無論你點解想置裝 🧥🧣👖，依家都有更大理由！渣打國泰 Mastercard為你帶嚟專屬購物獎賞，即日起至 2022 年 10 月 18 日成為 CLUB CG 會員，喺東薈城名店倉憑卡簽賬消費滿 HK$2,000 送你總值 HK$200 商場購物禮券；滿 HK$6,000 送 HK$600，每人每日可獲高達HK$800購物禮券！  🎊🎊🎊！仲唔即刻去買盡各大人氣品牌 💨💨？ 🎀 了解更多優惠詳情：bit.ly/3M9xwkh  借定唔借？還得到先好借。 優惠受條款及細則約束。  #專屬獎賞 #渣打國泰Mastercard #渣打香港 #StandardCharteredHK","2022-09-30T09:41:49+0000","","","","Standard Chartered Hong Kong","367917229968244","","ranked","1","True","","12","NONE","","11","NONE","","1","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","367917229968244_5586668441426404","","","","","","",""
"367917229968244/367917229968244_5586668441426404/367917229968244_5586668441426404","7484","2278","2","367917229968244_5586668441426404","data","data.*","fetched (200)","2022-10-12 08:21:53.055295","Facebook:/<post-id>/comments","又係去東薈城outlet掃貨既好時候","2022-09-30T10:10:49+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"367917229968244/367917229968244_5586668441426404/367917229968244_5586668441426404","7485","2278","2","367917229968244_5586668441426404","data","data.*","fetched (200)","2022-10-12 08:21:53.055295","Facebook:/<post-id>/comments","晚上好。","2022-10-06T22:11:49+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"367917229968244/367917229968244_5586668441426404/367917229968244_5586668441426404","7486","2278","2","367917229968244_5586668441426404","offcut","","fetched (200)","2022-10-12 08:21:53.055295","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","3","True","","","WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVGMwTWprNE5URTBNemd4TlRZAeE9qRTJOalExTXpJMk5UQT0ZD","WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVGcyTmpVeE1EQTJOVE00TkRRNU9qRTJOalV3T1RRek1Eaz0ZD"
"367917229968244/367917229968244_5574276232665625","2279","1510","1","367917229968244_5574276232665625","data","data.*","fetched (200)","2022-10-01 19:27:54.218551","Facebook:/<page-id>/posts","【SC Live每週大市焦點】  立即重溫上星期五舉行嘅【SC Live每週大市焦點】，由財富管理專家為大家分析近期市場走勢，重點包括：   ．美國聯邦儲備委員會暗示未來幾個月將積極加息 ．認為未來 12 個月美國經濟衰退可能性提升至 75% ．預計美國 10 年期國債收益率今年年底將升至 4%；2 年期收益率則有機會升至 4.5% 以上 ．偏好以「3D」投資策略作出部署，即：降低風險、分散投資，並增持包括高息股票在內收益資產   市場瞬息萬變，想緊貼市況捕捉投資機遇，記住參加逢星期五17:00嘅網上講座 bit.ly/3aqCM0L！你可獲取渣打最新市場觀點，仲可以同專家互動，為投資作好部署。   更多專家詳盡分析及相關風險聲明，盡在 bit.ly/3wOQmUh。     #逢星期五 #SCLive每週大市焦點 #最新市場觀點 #股票 #外匯 #債券 #渣打財富管理 #StandardCharteredHK    投資涉及風險。","2022-09-26T03:42:25+0000","","","","Standard Chartered Hong Kong","367917229968244","","ranked","3","True","","10","NONE","","6","NONE","","2","NONE","","0","NONE","","0","NONE","","0","NONE","","2","NONE","367917229968244_5574276232665625","","","","","","",""
"367917229968244/367917229968244_5574276232665625/367917229968244_5574276232665625","7487","2279","2","367917229968244_5574276232665625","data","data.*","fetched (200)","2022-10-12 08:21:53.454234","Facebook:/<post-id>/comments","I am SC priority bank customer of HONG KONG. I would like to complain HONG KONG credit card hotline Center CS manager / Jessica Li Xiao Xuen with staff ID 1652156 as she totally don’t know how to handle customer angry feeling and complaint. She keep intensifying the angry emotion of customer by drop call. Please consider to directly ask her to quit","2022-09-27T13:16:27+0000","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"367917229968244/367917229968244_5574276232665625/367917229968244_5574276232665625","7488","2279","2","367917229968244_5574276232665625","data","data.*","fetched (200)","2022-10-12 08:21:53.454234","Facebook:/<post-id>/comments","Mamoru B Yuen no need complaint, very terrible bank, use dirty way to conduct business","2022-09-27T14:51:16+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-09-27T13:16:27+0000","I am SC priority bank customer of HONG KONG. I would like to complain HONG KONG credit card hotline Center CS manager / Jessica Li Xiao Xuen with staff ID 1652156 as she totally don’t know how to handle customer angry feeling and complaint. She keep intensifying the angry emotion of customer by drop call. Please consider to directly ask her to quit","",""
"367917229968244/367917229968244_5574276232665625/367917229968244_5574276232665625","7489","2279","2","367917229968244_5574276232665625","data","data.*","fetched (200)","2022-10-12 08:21:53.454234","Facebook:/<post-id>/comments","恐怖銀行，大家要好小心呢間嘢","2022-09-27T14:51:44+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"367917229968244/367917229968244_5574276232665625/367917229968244_5574276232665625","7490","2279","2","367917229968244_5574276232665625","data","data.*","fetched (200)","2022-10-12 08:21:53.454234","Facebook:/<post-id>/comments","經濟衰退似係定局黎","2022-09-30T06:05:03+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
