"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id","summary.order","summary.total_count","summary.can_comment","parent.created_time","parent.message","paging.cursors.before","paging.cursors.after"
"109581087317624","1142","None","0","109581087317624","seed","","","None","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143","1913","1142","1","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-01 19:20:12.278400","Facebook:/<page-id>/posts","【突發：中巨獎有秘訣？有人用 $60 就贏到 $1,000,000?!】  呢個人就係新一位「百萬勁抽」幸運兒雷先生，成為第二位贏得港幣一百萬嘅 ZA Bank 用戶！👏 見到佢喺片入面笑到四萬咁口講到明自己會點用呢筆獎金，就知道呢一百萬對佢意義有幾大！  不過對比「點用」，可能大家會更想知雷生係「點中」！好啦一於喺度絕密公開：其實佢… 就喺⭐️九龍佐敦寶靈大廈地下嘅 7-Eleven 中獎的！⭐️，因為呢度就係佢用 ZA Card 消費咗六十幾蚊而抽到中獎嘅「百萬勁抽券」嘅地方！  你都好想一沾旺氣？ 機會嚟啦！由即日起至 9 月 30 日，只要你係 ZA Bank 客戶兼用 ZA Card 喺呢間 7-Eleven 消費任何金額，我哋就額外送你多一張 9 月「百萬勁抽券」，畀你多個機會獨贏一百萬現金*！記住只限寶靈大廈嘅 7 仔先有㗎！🉐  #便利店總有一間喺左近 #但帶挈雷生贏到一百萬嘅就只此一間 #旺爆你 #ZABank #ZACard  ------- *由即日起至 2022 年 9 月 30 日，於九龍佐敦寶靈街 8 號寶靈大廈地下 7-Eleven 用 ZA Card 消費任何金額一次，即可完成任務，在 ZA Quest 領取額外百萬勁抽券。7-Eleven 並非此推廣活動的參與者。受條款及細則約束：https://bit.ly/39WVh01","2022-09-26T11:54:00+0000","","","","ZA Bank","109581087317624","","ranked","18","True","","28","NONE","","23","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","5","NONE","109581087317624_615392513403143","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2642","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","🙂🙂🙂 ZA bank 有效開户邀請碼  L44838 申請銀行戶口存款五萬至下月底可獲$250 申請銀行貸款輸入邀請碼 L44838 可獲九折貸款優惠券","2022-09-26T11:56:58+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2643","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","為什麼要寶靈大廈7-11，不能全港7-11？","2022-09-26T12:17:08+0000","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2644","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","🙂🙂🙂 ZA bank 有效開户邀請碼  38I686 申請銀行戶口存款五萬至下月底可獲$250 申請銀行貸款輸入邀請碼 38I686 可獲九折貸款優惠券","2022-09-26T13:11:16+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2645","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","咁hard sell第一位用60蚊，咁即係第二位開始好明顯係大銀碼啦😓","2022-09-26T13:11:57+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2646","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","搞到抽獎愈來愈少","2022-09-26T13:14:48+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2647","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","📢 真心分享：立即下載及申請  ZA Bank！用最新邀請碼 C943N3成功申請 用ZA Card 消費一次賺$150   用C943N3 成功開戶，仲可以參加 ZA 百萬勁抽，有機會獲得港幣一百萬現金獎賞！🤩  受條款及細則約束。  *需在成功開戶後 14 日內用 ZA Card 作任何消費  即刻去開戶啦！👇 https://bank.za.group/hk/mgm?t=2-C943N3-3&s=1","2022-09-26T13:15:28+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2648","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","做馬","2022-09-26T13:36:26+0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109581087317624/109581087317624_615392513403143/109581087317624_615392513403143","2649","1913","2","109581087317624_615392513403143","data","data.*","fetched (200)","2022-10-12 08:13:22.468901","Facebook:/<post-id>/comments","恭喜","2022-09-26T22:18:14+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
