序号,关键词,关键词详情链接,热搜数,博主,博文内容,转发的博文内容,发布时间,来自,转发数,评论数,点赞数,页面网址,博文内图片地址,博文内视频地址,采集时间
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,南***,"
                    【#2022年诺贝尔物理学奖揭晓#】10月4日，瑞典皇家科学院宣布，将2022年诺贝尔物理学奖授予法国科学家阿兰·阿斯佩（Alain Aspect）、美国科学家约翰·弗朗西斯·克劳泽（John F. Clauser）和奥地利科学家安东·塞林格（Anton Zeilinger），以表彰他们对于量子光学和原子物理方面的实验研究工作，尤其是在验证贝尔不等式方面的工作。诺贝尔奖官网写道，阿兰·阿斯佩、约翰·弗朗西斯·克劳泽和安东·塞林格各自使用纠缠的量子态进行了开创性实验，证明两个粒子即使在分离时也表现得像一个单元。他们的结果为基于量子信息的新技术扫清了道路。资料显示，阿兰·阿斯佩于1947 年出生于法国，现为法国巴黎萨克莱大学和巴黎综合理工学院教授；约翰·弗朗西斯·克劳泽于1942年出生于美国，现在美国加利福尼亚州J.F.克劳塞协会工作；安东·塞林格于1945 年出生于奥地利，现为奥地利维也纳大学教授。近年来，量子计算机、量子网络和量子加密通信已经开始得到应用，而决定该领域发展的一个重要研究内容就是#量子纠缠#。关于量子纠缠的探索，起源于爱因斯坦和两位合作者发表的一篇论文。1935年，爱因斯坦（Albert Einstein）、鲍里斯·波多尔斯基（Boris Podolsky）和纳森·罗森（Nathan Rosen）三位科学家发表一篇论文，质疑了量子力学的完备性。他们提出，如果有两个粒子，它们相互作用后分开，这样就会出现对其中一个粒子的测量会影响另一个粒子的情况。这也被称作是“定域实在论”，认为一个粒子只在局部拥有其所有特性并决定了任何测量的结局。1964年，理论学家贝尔（John Stewart Bell）提出了以他名字命名的不等式，使得可以从实验上检测 “定域实在论” 的预测。 贝尔认为，即使允许其他未观察到的特性，在纠缠量子态中产生的两个物理分离粒子的特性之间的某些统计相关性也无法用任何局部确定的过程来解释。1976年，约翰·弗朗西斯·克劳泽在一次实验中，按照贝尔不等式，实验证实了量子力学的正确性。不过，在约翰·弗朗西斯·克劳泽的实验后，一些漏洞仍然存在。1981年，阿兰·阿斯佩开发了一种双通道类型实验装置，它弥补了此前相关实验的重要漏洞，并进一步证明了量子力学的正确性。而1997年，安东·塞林格首次完成了量子隐形传态的原理性实验验证。量子隐形传态是从一个粒子向另一个粒子远距离传递未知量子态的方式，这一过程不需要传递粒子本身。诺贝尔物理学委员会主席安德斯·伊尔贝克说，“越来越清楚的是，一种新型的量子技术正在出现。我们可以看到，获奖者在纠缠态方面的工作非常重要，甚至超出了关于量子力学解释的基本问题。”可以预计，在诺奖的带动下，量子力学以及量子计算，无论是概念还是研究，都将迎来一个高潮。（21世纪经济报道） 收起d",,,, 1867,664,21336,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx2.sinaimg.cn/orj360/001PQmVogy1h6tf14yi41j60ht0htq5z02.jpg,,2022-10-05 22:25
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,程***,#量子纠缠# 物理学家认为，构成自然界的基本粒子是量子，而不是原子和分子。量子是物质与能量的最基本单位，最小的原子都比量子至少大1千万倍，因此在量子状态下，物质与能量是可以相互转换的。所有量子都存在肉眼所看不到的振动，直至形成物质形态。人体其实也遵循同样的原理，人体量子力学是构成人体的基础：思想、情绪、蛋白质、细胞、器官以及我们身上任何可见或不可见部分。在量子状态下，人体没有哪个部分是可以独立存在的。请不要把身体看作是细胞、组织和器官的结合体，而要从量子角度将它看作是宁静、流动的生命智慧，这种生命智慧在各种推动力的作用下不断沸腾，从而创造、支配各种能量，直到演变成你的身体。在量子状态下，主观意识的波动可以改变我们的身体。我们的思维意识、情绪都可以对我们的身体产生影响。这已经为现代医学所证实。对于量子纠缠，或许，我们还可以在人体中应用得更多… 医学中的“因果论”似乎也面临着重新审视。 收起d,,,, 71,65,390,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx2.sinaimg.cn/orj360/74cfa373ly1h6uqi3mjduj20hs0b4tag.jpg,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,微***,"
                    【直观解释#量子纠缠#】2022年诺贝尔物理学奖揭晓，花落量子纠缠！到底什么是量子纠缠？用简单明了的动画来解释复杂深奥的量子纠缠！涨知识了！via: L斯坦福桥帮主的微博视频 ​                ",,,, 136,16,252,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,"https://f.video.weibocdn.com/u0/LQDgq0uDgx07TbfoWb6M0104120ck5RG0E050.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983543&ssig=CI2x1Ysblx&KID=unistore,video",2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,新***,"
                    【获得诺贝尔物理奖的#量子纠缠#与量子信息技术，讲的是什么？】法国科学家阿兰·阿斯佩（Alain Aspect）、美国科学家约翰·弗朗西斯·克劳泽（John F. Clauser）以及奥地利科学家安东·塞林格（Anton Zeilinger）共同获得了本年度诺贝尔物理学奖。这三位量子信息科学领域的专家因通过光子纠缠实验确定贝尔不等式在量子世界中不成立，并开创量子信息科学而获奖。量子纠缠与量子信息讲的是什么？解读↓（界面新闻） O获得诺贝尔物理奖的量子纠缠与量子信息技术，讲的是什么？ 收起d",,,, 205,63,844,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx4.sinaimg.cn/large/002diGk7ly1h6up5c30d9j60m40cfq3k02.jpg,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,李***,了尘书坊【量子力学与佛学的碰撞】南王阿弥陀佛，来比较一下，佛学和量子力学对物质和意识测量之间关系的阐述。量子物理严格的实验已经证明了：基本粒子在没有观测的时候是没有确定的状态的。佛学中的意识是：意识的本体是“一念不生”的境界，处于这种境界的人，面对所有事物都对境无心，这时意识处于不确定状态，不住相。如来的法身其实不在任何具体的空间，不住相，又存在于任何地方；不在某处又存在于任何一处。人的意念也是不住相，没有任何具体的色相。在量子物理中，这种没有确定的状态，一被观测，也就是人的意识一参与，基本粒子的波函数就开始坍缩了，电子就会出现在个确定的位置，就出现某种客观实在，所以客观实在产生于意识参与的测量。在量子力学中，物质是由测量而产生的，而起心动念的实质我们也可以把它叫做一种测量。起心动念的时候意识本身就不再自由了，它突然就坍缩到个具体的概念之上了。这就是科学与佛学的比较。作这个比较的主要目的是想让大家理解，为什么现在我们要开始把意识现象当作是一种量子力学现象来看待了。把意识当作量子力学现象看待，这个时候的意识就是量子意识，量子意识是现在科学发展的一个新的前沿，已经有很多人在研究它。——朱清时（中国科学院院士，曾担任中国科学技术大学第七任校长）#量子纠缠##我的佛系生活# 收起d,,,, 11,7,23,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx1.sinaimg.cn/orj360/4a3b9dafgy1h6uqffv2p5j20to13kgqf.jpg,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,a***,#量子纠缠#【爱因斯坦难解的量子之谜】豆瓣：8.4量子纠缠（quantum entanglement）有望彻底改变从网络到代码破解的技术，物理学家们逐渐确信，两个亚原子粒子在任何距离上瞬间反映出来的现象都是真实存在的，但仍存在一些疑虑。物理学家们将从宇宙中捕获光，以证明爱因斯坦的“远处幽灵行为”。 LINGG的微博视频 收起d,,,, 372,38,596,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,"https://f.video.weibocdn.com/YX5TmuAMlx07LvRmd5ws0104120aAfcm0E040.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983540&ssig=hEl7vb9A1q&KID=unistore,video",2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,1***,#2022诺贝尔奖# 【 #2022年诺贝尔物理学奖揭晓#：三位获奖者接力让量子力学从理论变为技术】近年来，量子计算机、量子网络和量子加密通信已经开始得到应用，而决定该领域发展的一个重要研究内容就是#量子纠缠# 。可以预计，在诺贝尔奖的带动下，#量子力学# 以及量子计算，无论是概念还是研究，都将迎来一个高潮。详见：O2022年物理学诺奖：三位获奖者接力让量子力学从理论变为技术（21财经） 收起d,,,, 41,2,67,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx1.sinaimg.cn/orj360/001NLe62gy1h6u27s3f1jj60jg0eotfx02.jpg,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,知***,#诺奖黄金周##量子纠缠# 2022物理诺奖公布 中国科学家潘建伟作出重要贡献 L知识分子的微博视频 ​                ,,,, 53,13,566,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,,"https://f.video.weibocdn.com/o0/USQ4iPOJlx07ZJgfuWjK01041201B8KV0E010.mp4?label=mp4_720p&template=720x836.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1664983512&ssig=ylKUr4P0IZ&KID=unistore,video",2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,u***,#量子纠缠#怎么会有一堆人在这里面评论什么平行世界、念念不忘必有回响之类的玄学都是真的，这些跟量子纠缠就没有关系好吗，你们说的这些是真玄学，而这里的量子纠缠研究的是真真实实的宇宙事物的运行关系和定律好吧。据我简单了解来说，量子纠缠就是描述多个粒子间关联状态的。通俗的举例就比如母女两人，有一天女儿生了个孩子，那么女儿就成为了妈，而母亲则就变成了姥姥，无论有没有告诉母亲，母亲都成为了姥姥，而这种变化是同时发生的，不会因为距离或者信息传递快慢就不同，这就是一种“纠缠”。量子纠缠原理也如此，量子纠缠之间不需要也不传输信息，但是一个量子状态改变，另外的量子就会产生相应的变化。 收起d,,,, 6,5,41,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx1.sinaimg.cn/orj360/8a1cbc1fly1h6upxut119j20wi1j9q7n.jpg,,2022-10-05 22:26
1,量子纠缠,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,1592612,乔***,"
                    原来有一句话：最讨厌美国两种人，一是搞种族歧视的人，二是黑人。今天又看到一句：最歧视美国人的是美国华人，而美国的华人，又被中国大陆人歧视。美国华人和中国大陆人却又比翼双飞，傲视全球。#量子纠缠# ​                ",,,, 3,31,57,https://s.weibo.com/weibo?q=%23%E9%87%8F%E5%AD%90%E7%BA%A0%E7%BC%A0%23&t=31&band_rank=1&Refer=top,https://wx3.sinaimg.cn/orj360/007xYv4Fgy1h6urd7rhb7j31hz11t7dj.jpg,,2022-10-05 22:26
